JFX,Walker County-Bevill Field,AL,Jasper,33.90199528,-87.31416639
7A3,Lanett Regional,AL,Lanett,32.81204611,-85.22958111
A08,Vaiden Field,AL,Marion,None,None
BFM,Mobile International,AL,Mobile,30.62646944,-88.06799861
MOB,Mobile Regional,AL,Mobile,30.69141667,-88.24283333
MVC,Monroe County Aeroplex,AL,Monroeville,31.45805306,-87.35104028
MGM,Montgomery Regional (Dannelly Field),AL,Montgomery,32.30064417,-86.39397611
MSL,Northwest Alabama Regional,AL,Muscle Shoals,34.74532028,-87.61023222
20A,Robbins Field,AL,Oneonta,33.97231972,-86.37942722
71J,Ozark/Blackwell Field,AL,Ozark,31.43113889,-85.61922222
PLR,St Clair County,AL,Pell City,33.55883333,-86.24905556
1A9,Prattville/Grouby Field,AL,Prattville,32.438775,-86.51044778
3M8,North Pickens,AL,Reform,33.38900611,-88.00557806
7A5,Roanoke Municipal Enloe,AL,Roanoke,33.12928722,-85.366615
M22,Bill Pugh Field,AL,Russellville,34.44953972,-87.71030833
4A6,Scottsboro Municipal-Word Field,AL,Scottsboro,34.68897278,-86.0058125
SEM,Craig Field,AL,Selma,32.34394667,-86.98780333
2R5,St Elmo,AL,St. Elmo,30.50190833,-88.27511667
SCD,Merkel Field Sylacauga Municipal,AL,Sylacauga,33.17183583,-86.30553778
ASN,Talladega Municipal,AL,Talladega,33.56991111,-86.05085833
TOI,Troy Municipal at N Kenneth Campbell Field,AL,Troy,31.86041667,-86.01213889
TCL,Tuscaloosa Ntl,AL,Tuscaloosa,33.2206275,-87.61140139
06A,Moton Field Municipal,AL,Tuskegee,32.46047167,-85.68003611
07A,Franklin Field,AL,Union Springs,None,None
08A,Wetumpka Municipal,AL,Wetumpka,32.52943944,-86.32822139
ADK,Adak,AK,Adak (Naval) Station/Mitchell Field,51.87796389,-176.6460306
AKK,Akhiok,AK,Akhiok,56.93869083,-154.1825556
Z13,Akiachak,AK,Akiachak,60.90453167,-161.42091
AKI,Akiak,AK,Akiak,60.90481194,-161.2270189
7AK,Akutan,AK,Akutan,None,None
KQA,Akutan,AK,Akutan,54.13246694,-165.7853111
AUK,Alakanuk,AK,Alakanuk,62.68004417,-164.6599253
5A8,Aleknagik /New,AK,Aleknagik,59.28256167,-158.6176725
6A8,Allakaket,AK,Allakaket,66.55194444,-152.6222222
AFM,Ambler,AK,Ambler,67.10610472,-157.8536203
AKP,Anaktuvuk Pass,AK,Anaktuvuk Pass,68.1343225,-151.74168
ANC,Ted Stevens Anchorage International,AK,Anchorage,61.17432028,-149.9961856
LHD,Lake Hood,AK,Anchorage,61.18000361,-149.9719322
MRI,Merrill Field,AK,Anchorage,61.21437861,-149.8461614
AGN,Angoon,AK,Angoon,57.50355528,-134.5850939
ANI,Aniak,AK,Aniak,61.58159694,-159.5430428
ANV,Anvik,AK,Anvik,62.64858333,-160.1898889
ARC,Arctic Village,AK,Arctic Village,68.11608083,-145.5761114
AKA,Atka,AK,Atka,52.22034833,-174.2063503
4A2,Atmautluak,AK,Atmautluak,60.86674556,-162.2731389
ATK,Atqasuk Edward Burnell Sr Memorial,AK,Atqasuk,70.46727611,-157.4357361
BRW,Wiley Post-Will Rogers Memorial,AK,Barrow,71.2854475,-156.7660019
WBQ,Beaver,AK,Beaver,66.36155056,-147.4012186
BET,Bethel,AK,Bethel,60.77977639,-161.8379975
BTT,Bettles,AK,Bettles,66.91528667,-151.5280556
BGQ,Big Lake,AK,Big Lake,61.53556806,-149.8138975
Z91,Birch Creek,AK,Birch Creek,66.27399583,-145.8240381
BCV,Birchwood,AK,Birchwood,61.41612444,-149.50888
BYA,Boundary,AK,Boundary,64.07830278,-141.113375
KTS,Brevig Mission,AK,Brevig Mission,65.33136111,-166.4631667
BVK,Buckland,AK,Buckland,65.98228611,-161.1519778
CEM,Central,AK,Central,65.57380667,-144.7832908
CIK,Chalkyitsik,AK,Chalkyitsik,66.64969083,-143.7359492
5CD,Chandalar Shelf,AK,Chandalar,68.06543944,-149.5797392
WCR,Chandalar Lake,AK,Chandalar,67.50451667,-148.4832222
CFK,Chefornak,AK,Chefornak,60.14922556,-164.2856325
C05,Chenega Bay,AK,Chenega,60.07730556,-147.9918889
VAK,Chevak,AK,Chevak,61.53363583,-165.5837322
CKX,Chicken,AK,Chicken,64.07133833,-141.9522792
AJC,Chignik,AK,Chignik,56.3114625,-158.3732369
KCL,Chignik Lagoon,AK,Chignik Lagoon,56.31116306,-158.5359264
A79,Chignik Lake,AK,Chignik Lake,56.25504722,-158.7753614
CZN,Chisana,AK,Chisana,62.07118972,-142.0483742
CXC,Chitina,AK,Chitina,61.58285917,-144.4270969
9A3,Chuathbaluk,AK,Chuathbaluk,61.58317306,-159.2359667
CRC,Circle City,AK,Circle,65.83049389,-144.0758128
CHP,Circle Hot Springs,AK,Circle Hot Springs,65.48547222,-144.6107836
CLP,Clarks Point,AK,Clarks Point,58.84230472,-158.5452331
Z84,Clear,AK,Clear,64.30120361,-149.1201436
KCC,Coffman Cove,AK,Coffman Cove,56.00324444,-132.8419689
CDB,Cold Bay,AK,Cold Bay,55.20559972,-162.7242628
CXF,Coldfoot,AK,Coldfoot,67.25163417,-150.2065672
CDV,Merle K (Mudhole) Smith,AK,Cordova,60.49183389,-145.4776503
CKU,Cordova Municipal,AK,Cordova,60.54390333,-145.7267042
K29,Council,AK,Council,64.89788278,-163.7034472
CGA,Craig,AK,Craig,55.47883139,-133.1478011
CJX,Crooked Creek,AK,Crooked Creek,61.86902194,-158.1371178
SCC,Deadhorse,AK,Deadhorse,70.19475583,-148.4651608
DEE,Deering,AK,Deering,66.06820583,-162.7666028
DLG,Dillingham,AK,Dillingham,59.0454125,-158.5033389
DM2,Diomede,AK,Diomede,65.75861111,-168.9530556
EAA,Eagle,AK,Eagle,64.77639306,-141.1509206
EEK,Eek,AK,Eek,60.21590417,-162.0056092
EII,Egegik,AK,Egegik,58.18837472,-157.3809872
KEK,Ekwok,AK,Ekwok,59.35399444,-157.4744092
ELV,Elfin Cove,AK,Elfin Cove,58.19518417,-136.3473928
ELI,Elim,AK,Elim,64.61400972,-162.2700681
ENM,Emmonak,AK,Emmonak,62.78518639,-164.4910461
KEB,Nanwalek,AK,English Bay,59.35214833,-151.9251558
EXI,Excursion Inlet,AK,Excursion Inlet,58.42049861,-135.4490328
FAI,Fairbanks International,AK,Fairbanks,64.8136775,-147.8596694
KFP,False Pass,AK,False Pass,54.84744583,-163.4103222
FLT,Flat,AK,Flat,62.45264889,-157.98907
FYU,Fort Yukon,AK,Fort Yukon,66.57149028,-145.2504169
FNR,Funter Bay,AK,Funter (Variant: Funter Bay),58.25438583,-134.8979067
GAL,Edward G Pitka Sr,AK,Galena,64.73617806,-156.9374164
GAM,Gambell,AK,Gambell,63.76676556,-171.7328236
AQY,Girdwood,AK,Girdwood,60.96609583,-149.1257892
GLV,Golovin,AK,Golovin,None,None
GNU,Goodnews,AK,Goodnews Bay,59.11727556,-161.5813967
KGX,Grayling,AK,Grayling,62.89456056,-160.0649042
GKN,Gulkana,AK,Gulkana,62.15488889,-145.4566389
GST,Gustavus,AK,Gustavus,58.42438139,-135.7073814
HNS,Haines,AK,Haines,59.24522806,-135.5221086
HRR,Healy River,AK,Healy,63.86620806,-148.9689842
HYL,Clark Bay,AK,Hollis,55.48158833,-132.6460942
HCA,Holy Cross,AK,Holy Cross,None,None
HOM,Homer,AK,Homer,59.64555556,-151.4765833
HNH,Hoonah,AK,Hoonah,58.09609139,-135.4096975
OOH,Hoonah,AK,Hoonah,58.11215944,-135.451805
HPB,Hooper Bay,AK,Hooper Bay,61.52418306,-166.1467797
5HO,Hope,AK,Hope,60.90415028,-149.6238389
HUS,Hughes,AK,Hughes,66.04112167,-154.2631903
HLA,Huslia,AK,Huslia,None,None
HYG,Hydaburg,AK,Hydaburg,55.20631611,-132.8283131
4Z7,Hyder,AK,Hyder,55.90331972,-130.0067031
IGG,Igiugig,AK,Igiugig,59.32373528,-155.9032733
ILI,Iliamna,AK,Iliamna,59.75380028,-154.9109597
JNU,Juneau International,AK,Juneau,58.35496194,-134.5762764
AFE,Kake,AK,Kake,56.96048139,-133.9082694
KAE,Kake,AK,Kake,56.97299639,-133.9456147
BTI,Barter Island,AK,Kaktovik,70.13390278,-143.5770444
KAL,Kaltag,AK,Kaltag,64.32571917,-158.7441475
5Z5,Kantishna,AK,Kantishna,63.54171472,-150.9939547
KYK,Karluk,AK,Karluk,57.56706389,-154.4503714
KXA,Kasaan,AK,Kasaan,55.53741389,-132.3975144
Z09,Kasigluk,AK,Kasigluk,60.87202194,-162.5248094
ENA,Kenai Municipal,AK,Kenai,60.572,-151.2475278
8K9,Murphys Pullout,AK,Ketchikan,55.38965028,-131.7380742
KTN,Ketchikan International,AK,Ketchikan,55.35556861,-131.71374
IAN,Bob Baker Memorial,AK,Kiana,66.97937611,-160.4358597
KVC,King Cove,AK,King Cove,55.1163475,-162.2662272
AKN,King Salmon,AK,King Salmon,58.67680167,-156.6492175
IIK,Kipnuk,AK,Kipnuk,59.93295111,-164.0305131
KVL,Kivalina,AK,Kivalina,67.73125333,-164.5518019
AKW,Klawock,AK,Klawock,55.57923333,-133.0759972
DCK,Dahl Creek,AK,Kobuk,66.94333806,-156.9046739
OBU,Kobuk,AK,Kobuk,66.90917056,-156.8610575
ADQ,Kodiak,AK,Kodiak,57.74996778,-152.4938553
KDK,Kodiak Municipal,AK,Kodiak,None,None
T44,Trident Basin,AK,Kodiak,57.78083333,-152.3913889
KKB,Kitoi Bay,AK,Kodiak Island (Borough),58.19094611,-152.3704875
9K2,Kokhanok,AK,Kokhanok,59.43264556,-154.8027058
JZZ,Koliganek,AK,Koliganek,59.72664194,-157.2594722
DUY,Kongiganak,AK,Kongiganak,59.95950583,-162.8817231
2A9,Kotlik,AK,Kotlik,63.03116111,-163.5299278
OTZ,Ralph Wien Memorial,AK,Kotzebue,66.88467694,-162.5985497
KKA,Koyuk Alfred Adams,AK,Koyuk,64.93404056,-161.158145
KYU,Koyukuk,AK,Koyukuk,64.87714278,-157.7158358
KWT,Kwethluk,AK,Kwethluk,60.80425194,-161.44535
GGV,Kwigillingok,AK,Kwigillingok,None,None
Z55,Lake Louise,AK,Lake Louise,62.29368944,-146.5794219
MHM,Minchumina,AK,Lake Minchumina,63.880565,-152.3006756
2A3,Larsen Bay,AK,Larsen Bay,57.53510667,-153.9784169
9Z8,Levelock,AK,Levelock,None,None
2AK,Lime Village,AK,Lime Village,61.35848528,-155.4403508
MLY,Manley Hot Springs,AK,Manley Hot Springs,64.99756472,-150.6441297
MBA,Manokotak,AK,Manokotak,None,None
MDM,Marshall Don Hunter Sr,AK,Marshall,None,None
Z40,Goose Bay,AK,Matanuska-Susitna (Borough),61.39445139,-149.8455556
MYK,May Creek,AK,May Creek,61.33567417,-142.686775
15Z,McCarthy,AK,McCarthy,61.43706083,-142.9037372
MCG,McGrath,AK,McGrath,62.95287361,-155.6057625
MYU,Mekoryuk,AK,Mekoryuk,60.37142,-166.2706083
MTM,Metlakatla,AK,Metlakatla,55.13104528,-131.5780675
51Z,Minto Al Wright,AK,Minto,65.14370889,-149.3699647
MOU,Mountain Village,AK,Mountain Village,62.09536222,-163.6820594
5NK,Naknek,AK,Naknek,58.73288056,-157.0199197
WNA,Napakiak,AK,Napakiak,60.69118917,-161.9695161
PKA,Napaskiak,AK,Napaskiak,60.70369056,-161.7767367
OUL,Nelson Lagoon,AK,Nelson Lagoon,None,None
ENN,Nenana Municipal,AK,Nenana,64.54898167,-149.0735053
KNW,New Stuyahok,AK,New Stuyahok,59.44955333,-157.3271908
EWU,Mertarvik,AK,Newtok,60.93865417,-164.6412147
IGT,Nightmute,AK,Nightmute,60.47032722,-164.6856414
FSP,Nikolai,AK,Nikolai,None,None
WTK,Noatak,AK,Noatak,67.56208333,-162.9752778
OME,Nome,AK,Nome,64.51220222,-165.4452458
5NN,Nondalton,AK,Nondalton,59.97904306,-154.8396944
D76,Robert /Bob/ Curtis Memorial,AK,Noorvik,None,None
GBH,Galbraith Lake,AK,North Slope (Borough),68.47906306,-149.4900214
96Z,Whale Pass Seaplane Float Harbor Facility,AK,North Whale Pass,56.11631056,-133.1217153
ORT,Northway,AK,Northway,62.96133361,-141.9291369
AQT,Nuiqsut,AK,Nuiqsut,70.20995278,-151.0055611
NUL,Nulato,AK,Nulato,64.72981944,-158.0731889
16A,Nunapitchuk,AK,Nunapitchuk,60.90582833,-162.4391158
6R7,Old Harbor,AK,Old Harbor,57.21810306,-153.2697494
Z17,Ophir,AK,Ophir,63.1460375,-156.529865
4K5,Ouzinkie,AK,Ouzinkie,57.92287611,-152.5005111
PAQ,Warren "Bud" Woods Palmer Municipal,AK,Palmer,61.59474194,-149.0888242
4K0,Pedro Bay,AK,Pedro Bay,59.78960972,-154.1238331
PEC,Pelican,AK,Pelican,57.95517222,-136.2362733
PEV,Perryville,AK,Perryville,None,None
63A,Lloyd R Roundtree Seaplane Facility,AK,Petersburg,56.81131972,-132.9600567
PSG,Petersburg James A Johnson,AK,Petersburg,56.80165194,-132.9452781
PNP,Pilot Point,AK,Pilot Point,57.58038056,-157.5674444
0AK,Pilot Station,AK,Pilot Station,61.93396417,-162.8929358
PTU,Platinum,AK,Platinum,59.01135611,-161.8196661
KPB,Point Baker,AK,Point Baker,56.35185972,-133.6225864
PHO,Point Hope,AK,Point Hope,68.34877417,-166.7993086
PIZ,Point Lay LRRS,AK,Point Lay,69.732875,-163.0053417
AHP,Port Alexander,AK,Port Alexander,56.24684222,-134.6481539
PGM,Port Graham,AK,Port Graham,59.34825944,-151.8315389
PTH,Port Heiden,AK,Port Heiden,56.95943333,-158.6318208
ORI,Port Lions,AK,Port Lions,57.8853775,-152.8461011
19P,Port Protection,AK,Port Protection,56.32880417,-133.6100844
A14,Portage Creek,AK,Portage Creek,58.906485,-157.7141078
AQH,Quinhagak,AK,Quinhagak,59.75700722,-161.8794789
RMP,Rampart,AK,Rampart,65.50786222,-150.1428047
RDV,Red Devil,AK,Red Devil,61.78764333,-157.3479344
RBY,Ruby,AK,Ruby,64.72721556,-155.4698886
RSH,Russian Mission,AK,Russian Mission,61.77967583,-161.3194772
KSM,St Mary's,AK,Saint Mary's,62.06048639,-163.3021108
SMK,St Michael,AK,Saint Michael,None,None
SNP,St Paul Island,AK,Saint Paul Island,57.16733333,-170.2204444
SDP,Sand Point,AK,Sand Point,55.31502778,-160.5176944
SVA,Savoonga,AK,Savoonga,63.68639444,-170.4926361
SCM,Scammon Bay,AK,Scammon Bay,61.84454111,-165.5737492
WLK,Selawik,AK,Selawik,66.60002778,-159.9861944
SOV,Seldovia,AK,Seldovia,59.44243917,-151.7040503
SWD,Seward,AK,Seward,60.12693833,-149.4188122
SHX,Shageluk,AK,Shageluk,62.69511944,-159.5690614
2C7,Shaktoolik,AK,Shaktoolik,None,None
SXP,Nunam Iqua,AK,Sheldon Point,62.52055556,-164.8477778
SHH,Shishmaref,AK,Shishmaref,66.24956861,-166.0895589
SHG,Shungnak,AK,Shungnak,66.88916556,-157.1505119
A29,Sitka,AK,Sitka,57.05213778,-135.3462086
SIT,Sitka Rocky Gutierrez,AK,Sitka,57.04713806,-135.3615983
SGY,Skagway,AK,Skagway,59.46006194,-135.3156636
SKW,Skwentna,AK,Skwentna,61.965295,-151.1913661
SLQ,Sleetmute,AK,Sleetmute,61.70931139,-157.1557008
SXQ,Soldotna,AK,Soldotna,60.47613889,-151.0324444
WSN,South Naknek Nr 2,AK,South Naknek,58.70343611,-157.0082511
PBV,St George,AK,St. George,56.57735278,-169.6637361
WBB,Stebbins,AK,Stebbins,63.51591972,-162.2827394
SVS,Stevens Village,AK,Stevens Village,66.00900528,-149.0959153
SRV,Stony River 2,AK,Stony River,61.789875,-156.5881861
TCT,Takotna,AK,Takotna,62.99270417,-156.0681903
TKA,Talkeetna,AK,Talkeetna,62.3205,-150.0936944
TAL,Ralph M Calhoun Memorial,AK,Tanana,65.17439528,-152.1093886
7KA,Tatitlek,AK,Tatitlek,60.86890528,-146.6864653
2K5,Telida,AK,Telida,63.39387278,-153.2689733
TER,Teller,AK,Teller,None,None
TKE,Tenakee,AK,Tenakee Springs,57.77965833,-135.2184439
3T4,Tetlin,AK,Tetlin,None,None
KTB,Thorne Bay,AK,Thorne Bay,55.68796194,-132.5366758
TOG,Togiak,AK,Togiak,59.05284222,-160.3969339
6K8,Tok Junction,AK,Tok,63.32881806,-142.9536194
OOK,Toksook Bay,AK,Toksook Bay,60.53337639,-165.1139636
TLT,Tuluksak,AK,Tuluksak,61.09676222,-160.9684167
A61,Tuntutuliak,AK,Tuntutuliak,60.33534556,-162.6670094
4KA,Tununak,AK,Tununak,60.57559667,-165.2731272
A63,Twin Hills,AK,Twin Hills,59.07562167,-160.2730436
9A8,Ugashik,AK,Ugashik,57.5278675,-157.3993056
UNK,Unalakleet,AK,Unalakleet,63.88835917,-160.7989517
DUT,Unalaska,AK,Unalaska,53.90013889,-166.5435
KLG,Kalskag,AK,Upper Kalskag (native name: Kalskag),61.53627389,-160.3413306
VDZ,Valdez Pioneer Field,AK,Valdez,61.13395028,-146.24836
VEE,Venetie,AK,Venetie,67.02269444,-146.4137753
AWI,Wainwright,AK,Wainwright,70.638,-159.99475
IWK,Wales,AK,Wales,65.62394028,-168.0991719
IYS,Wasilla,AK,Wasilla,61.57196083,-149.5405556
WMO,White Mountain,AK,White Mountain,64.68919444,-163.4125556
IEM,Whittier,AK,Whittier,60.7772125,-148.7215775
UUO,Willow,AK,Willow,61.75441667,-150.0516639
68A,Wrangell,AK,Wrangell,56.466325,-132.3800181
WRG,Wrangell,AK,Wrangell,56.48432583,-132.3698242
2Y3,Yakutat,AK,Yakutat,59.5624775,-139.7410994
YAK,Yakutat,AK,Yakutat,59.50336056,-139.6602261
FLG,Flagstaff Pulliam,AZ,- Flagstaff,35.13845472,-111.6712183
P01,Eric Marcus Municipal,AZ,Ajo,32.45005694,-112.8673778
E51,Bagdad,AZ,Bagdad,34.59585278,-113.170195
E95,Benson Municipal/Paul Kerchum Field,AZ,Benson,31.99972222,-110.3572222
P04,Bisbee Municipal,AZ,Bisbee,31.36399028,-109.8831286
BXK,Buckeye Municipal,AZ,Buckeye,33.42088556,-112.6863
IFP,Laughlin/Bullhead International,AZ,Bullhead City,35.15738889,-114.5595278
CGZ,Casa Grande Municipal,AZ,Casa Grande,32.95488889,-111.7668333
CHD,Chandler Municipal,AZ,Chandler,33.26908333,-111.8111389
E91,Chinle Municipal,AZ,Chinle,36.11088056,-109.5754222
Z95,Cibecue,AZ,Cibecue,34.00333333,-110.4441667
CFT,Greenlee County,AZ,Clifton,32.95284306,-109.2103453
AZC,Colorado City Municipal,AZ,Colorado City,36.95994444,-113.0138889
P08,Coolidge Municipal,AZ,Coolidge,32.93594444,-111.4265278
P52,Cottonwood,AZ,Cottonwood,34.73002111,-112.0351569
DUG,Bisbee Douglas International,AZ,Douglas,31.46902778,-109.6036667
E60,Eloy Municipal,AZ,Eloy,32.80700583,-111.58679
FHU,Sierra Vista Municipal-Libby AAF,AZ,Fort Huachuca,31.58847222,-110.3443889
E63,Gila Bend Municipal,AZ,Gila Bend,32.95810083,-112.6782181
GEU,Glendale Municipal,AZ,Glendale,33.52726278,-112.2951564
P13,San Carlos Apache,AZ,Globe,33.35314722,-110.6673611
GYR,Phoenix Goodyear,AZ,Goodyear,33.42281972,-112.3759919
GCN,Grand Canyon Ntl Park,AZ,Grand Canyon,35.95235389,-112.1469647
P14,Holbrook Municipal,AZ,Holbrook,34.93891389,-110.1395656
0V7,Kayenta,AZ,Kayenta,36.70972139,-110.2367978
IGM,Kingman,AZ,Kingman,35.25947222,-113.9380556
HII,Lake Havasu City,AZ,Lake Havasu City,34.56816056,-114.3561783
AVQ,Marana Regional,AZ,Marana,32.40939028,-111.2185086
A39,Ak-Chin Regional,AZ,Maricopa,None,None
FFZ,Falcon Field,AZ,Mesa,33.46083333,-111.7283333
IWA,Phoenix-Mesa Gateway,AZ,Mesa,33.30783333,-111.6554722
OLS,Nogales International,AZ,Nogales,31.41772222,-110.8478889
PGA,Page Municipal,AZ,Page,36.92611111,-111.4483611
P20,Avi Suquilla,AZ,Parker,34.15063889,-114.2712222
PAN,Payson,AZ,Payson,34.25683639,-111.3392558
1G4,Grand Canyon West,AZ,Peach Springs,35.99221,-113.8166164
DVT,Phoenix Deer Valley,AZ,Phoenix,33.68831667,-112.0825614
PHX,Phoenix Sky Harbor International,AZ,Phoenix,33.43416667,-112.0080556
MZJ,Pinal Airpark,AZ,Pinal (County),32.50984389,-111.3253339
P10,Polacca,AZ,Polacca,None,None
PRC,Prescott Regional - Ernest A Love Field,AZ,Prescott,34.65447222,-112.4195833
SAD,Safford Regional,AZ,Safford,32.85331278,-109.6349708
SJN,St Johns Industrial Air Park,AZ,Saint Johns,34.51855556,-109.37875
E77,San Manuel,AZ,San Manuel,None,None
SDL,Scottsdale,AZ,Scottsdale,33.622875,-111.9105333
SEZ,Sedona,AZ,Sedona,34.84862889,-111.7884614
SOW,Show Low Regional,AZ,Show Low,34.26527194,-110.0054075
JTC,Springerville Municipal,AZ,Springerville,None,None
TYL,Taylor,AZ,Taylor,34.45283333,-110.1148056
T03,Tuba City,AZ,Tuba City,36.09276972,-111.3826419
RYN,Ryan Field,AZ,Tucson,32.14308333,-111.1728611
TUS,Tucson International,AZ,Tucson,32.11608333,-110.9410278
E24,Whiteriver,AZ,Whiteriver,33.81255056,-109.9867658
E25,Wickenburg Municipal,AZ,Wickenburg,33.96891833,-112.7985128
P33,Cochise County,AZ,Willcox,32.24540278,-109.8946319
CMR,H A Clark Memorial Field,AZ,Williams,None,None
RQE,Window Rock,AZ,Window Rock,35.65205556,-109.0673889
INW,Winslow-Lindbergh Regional,AZ,Winslow,35.02191667,-110.7225278
NYL,Yuma MCAS/Yuma International,AZ,Yuma,None,None
M73,Almyra Municipal,AR,Almyra,34.41232833,-91.46634722
ADF,Dexter B Florence Memorial Field,AR,Arkadelphia,None,None
CVK,Sharp County Regional,AR,Ash Flat,36.26487139,-91.56264111
M60,Woodruff County,AR,Augusta,35.27175278,-91.27040417
BVX,Batesville Regional,AR,Batesville,35.726105,-91.64736083
SUZ,Saline County Regional,AR,Benton,None,None
VBT,Bentonville Municipal/Louise M Thaden Field,AR,Bentonville,36.34571528,-94.219345
XNA,Northwest Arkansas Ntl,AR,Bentonville,36.28186944,-94.30681111
4M1,Carroll County,AR,Berryville,36.38340333,-93.61685667
BYH,Arkansas International,AR,Blytheville,None,None
HKA,Blytheville Municipal,AR,Blytheville,35.94040667,-89.83080583
M36,Frank Federer Memorial,AR,Brinkley,34.88000194,-91.1764375
37T,Calico Rock-Izard County,AR,Calico Rock,36.16565278,-92.14523611
CDH,Harrell Field,AR,Camden,33.62279917,-92.76339528
4M3,Carlisle Municipal,AR,Carlisle,34.80823,-91.71205083
4M8,Clarendon Municipal,AR,Clarendon,34.64870694,-91.39457111
H35,Clarksville Municipal,AR,Clarksville,35.47069417,-93.427155
CCA,Clinton Municipal,AR,Clinton,None,None
DRP,Delta Regional,AR,Colt,None,None
CXW,Conway Regional,AR,Conway,None,None
4M9,Corning Municipal,AR,Corning,36.40423139,-90.64792639
CRT,Z M Jack Stell Field,AR,Crossett,33.17833278,-91.88018806
32A,Danville Municipal,AR,Danville,None,None
DEQ,J Lynn Helms Sevier County,AR,De Queen,34.04699556,-94.39936556
5M1,Dewitt Municipal/Whitcomb Field,AR,De Witt,34.2626,-91.30984194
0M0,Billy Free Municipal,AR,Dumas,33.8845475,-91.53429111
ELD,South Arkansas Regional at Goodwin Field,AR,El Dorado,33.2208625,-92.81325167
FYV,Drake Field,AR,Fayetteville,36.00509472,-94.17005694
FLP,Marion County Regional,AR,Flippin,36.29087528,-92.59023417
5M4,Fordyce Municipal,AR,Fordyce,33.84593722,-92.36542861
FSM,Fort Smith Regional (Ebbing Field Angb),AR,Fort Smith,35.33659028,-94.36744111
HRO,Boone County,AR,Harrison,36.26152056,-93.15472889
HBZ,Heber Springs Municipal,AR,Heber Springs,35.51169389,-92.01300944
M18,Hope Municipal,AR,Hope,33.72008889,-93.65884556
6M2,Horseshoe Bend,AR,Horseshoe Bend,36.21673389,-91.75014556
HOT,Memorial Field,AR,Hot Springs,34.47803389,-93.09620833
JBR,Jonesboro Municipal,AR,Jonesboro,35.83186111,-90.64616667
